DonorID,FirstName,LastName,Email,Phone,City,State,ZipCode,LastDonationDate,TotalGifts,TotalAmountDonated,EventParticipation,EngagementScore
D00095,Bryan,Short,kaiserjessica@yahoo.com,430-657-7211x2716,Charlesshire,NH,72483,6/4/2022,7,19705.12,Yes,37
D00096,Patrick,Hurley,bwalker@wise-west.info,109.817.6635x21526,Lake Christymouth,WY,3498,10/4/2023,8,7444.41,No,82
D00097,Wendy,Rhodes,martin11@jackson.com,371.107.0686x8646,Williamsmouth,NM,29918,7/8/2023,13,3407.95,Yes,12
D00098,Allison,Anderson,richardmassey@sharp.info,001-414-735-9468x9537,South Jason,UT,17400,1/29/2025,6,3657.8,No,4
D00099,Tasha,Hardy,vcollins@gmail.com,252-577-6899x7739,South Joshua,WV,63117,12/20/2022,18,17441.84,No,43
D00100,Michelle,Stevens,hannah96@adams.net,(166)032-3701x409,West Anna,TX,50819,3/5/2023,2,16077.31,Yes,27
D00101,Alexander,Reeves,pedwards@gmail.com,(071)519-9632x304,New Robert,IN,64304,4/5/2022,8,19572.99,Yes,51
D00102,Jennifer,Boyd,gfletcher@hotmail.com,725.961.1595x3384,Anthonyshire,TN,33521,2/20/2023,11,23438.28,No,5
D00103,Erin,Smith,simmonschris@sherman.net,629-062-8815,Lake Rebecca,OR,38078,2/7/2024,1,17304.35,Yes,6
D00104,Amanda,Randolph,jameskane@williams.info,001-660-309-8051x8343,Marktown,NY,40696,2/16/2025,22,3913.17,Yes,77
D00105,Joseph,Mcdaniel,jtaylor@ross-phillips.biz,936-356-8087x793,Bartlettview,NC,63381,5/7/2023,29,6101.2,No,87
D00106,Danielle,Wheeler,alexandra95@hotmail.com,724-416-7621x8743,Jenkinsmouth,KY,47500,3/16/2025,6,21058,Yes,56
D00107,Daniel,Miller,kellycohen@crane.info,9647429326,New Raymond,WY,95406,2/28/2023,16,5248.47,No,89
D00108,Ryan,Owens,sharonho@hotmail.com,348.709.2951x62890,Lake Amy,RI,19671,12/21/2022,27,1831.61,No,68
D00109,Shawn,Williams,alicecalderon@stewart.com,-4052,Jamesview,OR,65063,3/21/2024,20,17587.94,Yes,96
D00110,Stephanie,Meyer,holderadam@hotmail.com,125.812.8766,Mortonchester,MA,14318,9/2/2023,12,10075.11,No,44
D00111,Nancy,Hopkins,heathermedina@davis-weber.org,404.197.4476,North Lanceview,SC,9491,3/1/2023,11,23002.6,No,15
D00112,Jose,Edwards,bellangie@cooper.com,224-696-8516x92175,New Jeffrey,MI,87756,8/14/2022,29,16263.37,No,90
D00113,Vincent,Lane,lori69@hotmail.com,713-528-4547,Anthonyhaven,VA,87333,3/12/2024,27,2278.67,No,42
D00114,Guy,Collins,claudia64@hotmail.com,5005745807,Leonardview,MO,27937,9/1/2022,29,23697.46,No,11
D00115,Rita,Mcclain,watkinsdakota@ramirez.org,(648)784-1383x12760,Emilychester,HI,1771,3/11/2024,10,6478.76,No,73
D00116,Monica,Flores,lauramatthews@rivera-ingram.org,833.594.8224x5248,Martinezview,VT,27109,6/27/2022,3,8443.57,Yes,11
D00117,Kenneth,Lee,aclark@gmail.com,-4688,New Emilymouth,KY,64050,9/13/2023,13,10068.47,Yes,66
D00118,Danielle,Hill,noblechristina@martin.com,001-546-141-1910x147,Ericside,TX,79428,2/11/2023,27,1299.58,No,27
D00119,Chelsea,Flores,taylorlindsay@ortega-murphy.net,912.983.5844,South Christopherchester,CA,12322,2/21/2024,3,12422.96,Yes,58
D00120,Eric,Alexander,annbennett@mccarthy-kelly.net,-3553,Jamieland,MI,83590,8/26/2022,15,3100.5,No,90
D00121,Kathryn,Wilson,waremegan@gmail.com,685-390-9174x47940,Bowmanshire,DC,43192,7/8/2023,16,10036.24,No,72
D00122,Amber,Hernandez,marycastro@yahoo.com,030.892.2906x41996,North Troyfort,FL,94823,6/2/2024,29,8780.73,Yes,21
D00123,Kimberly,Hill,grantryan@yahoo.com,840-293-7645x26587,Burgessport,OR,40033,5/5/2024,13,19325.55,No,21
D00124,Alyssa,Smith,clinemelissa@reed.com,(802)386-5626,Collinsfurt,NH,29236,6/6/2023,17,20083.2,Yes,72
D00125,Aaron,Dean,harold03@yahoo.com,805980188,Alejandrahaven,CA,79826,11/4/2022,3,3852.25,No,1
D00126,Mario,Palmer,adamcollins@gmail.com,003.005.3782x86872,Cassandraland,MO,14723,3/27/2024,20,9176.45,No,58
D00127,Andrew,Clark,wesley09@yahoo.com,001-203-071-0816x9223,Troyside,CO,15779,4/30/2022,11,9346.36,No,13
D00128,Sarah,Bell,darlene60@padilla.org,001-976-621-5415x198,Scottview,AR,44041,12/5/2024,27,3802.23,No,73
D00129,Natasha,Flores,oosborn@henry-wells.net,7027292942,New Kaylaburgh,CT,67655,10/29/2023,21,19965.37,Yes,92
D00130,Marie,Thomas,woodchloe@hernandez.com,+1-863-583-4926x38987,Hillborough,ND,75003,8/26/2023,19,17686.56,No,6
D00131,Kyle,Bush,hflowers@ramos.com,+1-495-591-0923x3558,Jensenton,DE,99413,8/5/2023,22,4775.74,No,87
D00132,Brian,Campbell,hodgejoshua@gmail.com,572.834.6389x16190,Lake Nathan,MD,5418,8/23/2022,11,9180.71,No,100
D00133,Natalie,Sanchez,mary52@bowen.biz,(587)530-2961x499,Kimberlyburgh,WA,72251,6/6/2022,28,2663.01,No,58
D00134,Stacey,Jones,brownmandy@hotmail.com,+1-094-167-9520x27989,Bryanchester,WI,64718,1/26/2025,16,15712.6,No,17
D00135,Christopher,Austin,christopher70@franklin-barker.biz,+1-145-481-1891x72845,East Lorimouth,SD,39020,7/23/2024,21,3051.87,No,73
D00136,Todd,Morgan,collinsann@peterson.com,487.494.0092x62886,Anthonymouth,VA,15276,11/23/2023,3,24648.64,No,12
D00137,Chad,Wallace,wilsonchristopher@hotmail.com,(807)200-8057x019,Michaelshire,MT,9321,2/23/2025,22,19521.44,Yes,86
D00138,Kathleen,Anderson,lonniesims@wang.com,435.752.9255x5680,West Wendy,IL,56692,7/23/2023,6,9768.16,No,52
D00139,Katie,Ruiz,umiller@gmail.com,001-846-900-1581x236,Williamsport,TX,9771,6/15/2023,14,14472.53,No,76
D00140,David,Lowe,julierojas@yahoo.com,(424)947-0025,North Michaelhaven,WV,88330,4/12/2024,24,22785.32,No,70
D00141,Thomas,Rodriguez,lmccarthy@taylor-stewart.com,906-724-4609,West Christie,MO,26436,8/1/2022,18,13861.4,Yes,73
D00142,Andrea,Brown,nicole24@wolfe-baker.info,(772)487-7476x308,East Brian,FL,39960,9/12/2023,17,4378.97,No,52
D00143,Joseph,Simmons,michael87@hotmail.com,572.890.9100,Port Scott,MI,47476,3/22/2023,4,9480.01,Yes,37
D00144,Monique,White,herringbrenda@medina.biz,001-634-741-8042x022,Davidburgh,NY,50844,12/23/2024,23,21081.76,No,3
D00145,Rodney,Carlson,jared88@hotmail.com,059.757.3368,Maciasland,PA,87461,11/13/2024,15,16112.44,No,98
D00146,Jason,Watkins,palmerjason@gmail.com,001-287-657-5552x58685,Melissafort,GA,4698,9/15/2024,11,16275.1,No,8
D00147,Amber,Huff,anthony18@hotmail.com,(850)664-8782x6487,Piercefurt,NJ,28854,8/15/2023,26,21673.2,No,10
D00148,Jessica,Lyons,ltaylor@watson-gray.org,300-025-5464,East Helenton,MD,10112,11/9/2022,3,22351.45,Yes,47
D00149,James,Jensen,jacqueline50@fisher.com,334-798-5294x84470,West Annburgh,ID,60504,12/21/2023,3,22996.42,Yes,41
D00150,Larry,Edwards,robintorres@payne-walton.info,145-056-3370x6951,Williamsmouth,NJ,13014,5/1/2023,16,2389.33,No,64
D00151,Wanda,Roth,esimon@gmail.com,819-613-8759,East Andrew,LA,30149,8/11/2024,5,13612.27,Yes,42
D00152,Debra,Marquez,carolyn76@yahoo.com,(594)229-8133x241,Port Davidview,NE,58008,3/19/2023,21,18517.93,No,43
D00153,Samuel,Lambert,kathrynsantana@rodriguez.org,+1-977-118-0167x743,South Cynthia,DC,53433,3/2/2023,29,18928.03,Yes,9
D00154,Zachary,Ferguson,martingarrett@yahoo.com,(048)909-8592x7143,South John,MT,1185,8/11/2022,10,15175.77,No,14
D00155,David,Beltran,davidcook@waller.com,+1-694-749-3476x88938,South Charles,KS,23007,11/25/2023,19,4186.35,No,91
D00156,Jeffrey,Campos,dfoster@gmail.com,(161)877-6458x08431,Stevetown,ME,23824,11/6/2023,25,19939.57,No,96
D00157,Matthew,Owens,nicoleturner@lopez.biz,+1-652-179-0053x126,Larsonbury,MT,13662,7/4/2022,4,18008.38,No,4
D00158,Brianna,Anderson,ericpeters@smith-moore.com,5574028459,Garciaburgh,CO,23936,4/12/2024,29,2171.67,No,2
D00159,Jerry,Hess,ehale@hotmail.com,(876)955-9126x813,New Jeffreymouth,NE,95816,1/20/2025,29,11605.97,No,97
D00160,Jeffrey,Gillespie,wmccarthy@gmail.com,7837318359,New Joshua,FL,92755,7/1/2023,19,4365.96,No,85
D00161,Chad,Mcdonald,lucasmcconnell@yahoo.com,123-459-2325x8024,South Jeffrey,NY,36553,6/30/2022,11,8450.18,No,1
D00162,Crystal,Bryant,lori69@yahoo.com,(571)162-7435x149,South Julieside,MO,3133,5/21/2023,2,471.67,No,75
D00163,Jeremy,Cohen,tracy90@blackwell.com,(863)270-2317,Port Markhaven,NC,45608,10/29/2024,10,10020.24,Yes,65
D00164,Rebecca,Mckinney,matthew09@hotmail.com,028-106-0763x443,Lake Kaylaview,UT,51063,1/14/2025,29,13755.93,No,46
D00165,Michele,Marshall,brewerdevin@gmail.com,460.263.3564,Lewisfort,ID,40106,11/9/2024,11,15497.17,Yes,59
D00166,Chad,Hall,kevindavis@valdez-simmons.com,629-870-2521,Lake Garyton,KY,84953,10/30/2022,25,16593.99,No,75
D00167,John,Walker,eleonard@gmail.com,(143)517-2368x504,Lake Greggtown,VA,57053,6/27/2023,20,20910.56,No,7
D00168,Elizabeth,Callahan,zwhite@hotmail.com,001-485-260-2354x7224,Lake Whitneymouth,SD,39254,12/20/2023,16,5402.26,Yes,66
D00169,Jason,Jensen,wdrake@oconnor.com,5530611390,New Cathyhaven,HI,87323,6/16/2023,19,3029.64,Yes,15
D00170,David,Durham,david86@gibson.biz,4589275234,South Julia,NM,26886,2/9/2024,23,21291.4,Yes,72
D00171,Selena,Myers,turnerjonathan@hotmail.com,8705683355,Russellmouth,RI,27625,6/29/2022,24,3932.19,No,47
D00172,Ashley,Lyons,xshaw@joseph-richard.com,(638)598-1828x439,Bridgeston,CT,33021,10/25/2022,11,24369.51,No,90
D00173,Thomas,Ortega,tinaschmidt@berg-miller.com,001-748-698-0055,Rachelside,WA,83059,8/23/2022,14,21066.6,No,40
D00174,Kristen,Mccormick,james97@yahoo.com,338.079.2660x9404,Alexanderside,WY,66794,10/28/2022,2,12531.9,No,42
D00175,Lindsey,Khan,hcampbell@stevens-williams.org,750-175-0566x558,Michellebury,NV,39320,2/9/2023,23,24535.91,No,51
D00176,James,Chavez,ronald40@hotmail.com,+1-906-586-9722x324,Ruizland,AK,77880,11/27/2024,28,2452.47,Yes,35
D00177,Collin,Johnson,kellybutler@yahoo.com,(043)006-3191,Priceborough,TX,82126,4/9/2023,5,7590.58,No,41
D00178,Ryan,Alvarez,cynthia91@yahoo.com,6971363591,Thomashaven,KS,48872,1/7/2024,27,15962.85,Yes,85
D00179,Rodney,Bell,fwright@davis.biz,001-142-028-6122x32861,West Gregory,AR,87397,1/21/2024,5,8763.17,Yes,57
D00180,Stuart,Murray,teresa93@hotmail.com,024-542-2492x243,Port Meganland,VA,44709,12/20/2022,19,23210.75,Yes,38
D00181,Jessica,Jackson,jonesnathan@gmail.com,2320001327,Port Dianaview,MA,26985,5/17/2022,21,1659.34,No,72
D00182,Emily,Tate,uhunt@morgan.com,928.243.5097x91353,Rodriguezside,NV,61169,8/5/2022,12,13744.31,Yes,96
D00183,Tracey,Munoz,vjohnson@yahoo.com,001-295-617-6294x84676,North Stephanie,NJ,70530,3/5/2024,18,14779.84,Yes,8
D00184,Corey,Anderson,ysanford@duncan.org,089-779-5361x4083,Lake Haley,AR,27064,8/21/2024,4,16325.15,Yes,74
D00185,Richard,Garcia,brooksthomas@hill-barker.com,7090633602,North Christianburgh,MA,10522,9/30/2022,22,6406.54,Yes,63
D00186,Matthew,Roth,jacobsrenee@hotmail.com,315.672.6173x6292,Greenton,ND,4500,6/22/2024,17,9126.87,No,87
D00187,Michelle,Robles,adam30@yahoo.com,598-977-7382x4382,Keithhaven,OK,96298,6/6/2022,10,21095.14,No,4
D00188,John,Nguyen,joseph95@walker.com,462-922-2283,Cynthiafurt,WY,85702,10/21/2024,20,4889.67,No,48
D00189,James,Banks,carrjessica@wilcox.com,813.852.2359,Williamsburgh,OH,17177,8/27/2022,6,20675.16,Yes,52
D00190,Shane,Sparks,aspears@yahoo.com,6270940144,West Jonfurt,UT,97026,10/22/2024,25,14075.13,Yes,38
D00191,Robert,Patel,michael72@yahoo.com,245-229-2456,Michelefort,TX,8832,3/17/2025,14,19059.44,No,94
D00192,Joshua,Morales,amandajackson@yahoo.com,089.393.5046x293,Strongfurt,RI,94282,2/17/2023,11,17845.91,Yes,87
D00193,John,Gutierrez,kjohnson@gmail.com,741.535.8338,New Loganport,CO,97786,11/29/2024,11,5203.64,No,5
D00194,Sandra,Oliver,christopher85@yahoo.com,895.919.0530x945,New Patricia,CO,39981,4/9/2023,29,14228.94,Yes,85
D00195,Scott,Kelley,shannon70@gmail.com,-3838,Maysstad,VT,82844,8/23/2023,18,21695.72,No,70
D00196,Michelle,Dickson,annette60@hawkins-henry.com,230.070.8618,East Kathrynhaven,DC,47031,7/12/2022,27,10814.26,Yes,81
D00197,Andrea,Reyes,nicholasrush@gmail.com,(948)467-4752x91483,Kathrynland,IN,13828,11/23/2023,23,24165.44,No,89
D00198,Brent,Peterson,hrobinson@roberts.biz,001-565-086-9227x0252,New Matthewbury,CA,98770,5/6/2024,22,11316.33,No,24
D00199,Yvette,Cervantes,karen69@yahoo.com,+1-541-105-5624x12667,Lake Gregorybury,HI,71187,9/22/2024,18,3586.79,No,86
D00200,Mary,Garza,crystal58@hotmail.com,(809)405-9647x03364,North Lori,TX,50984,4/25/2024,24,9748.08,Yes,77
D00201,Tanya,Mueller,michelesimpson@yahoo.com,(453)206-5432,Danielton,ID,47950,12/23/2023,23,23793.53,No,17
D00202,Sara,Graham,lmoore@yahoo.com,(143)403-7152x43109,Stevenburgh,IN,51878,11/13/2022,11,8006.63,No,78
D00203,Melinda,Cobb,patelmatthew@yahoo.com,568-309-5312,Julieland,KY,83533,3/1/2024,21,21705.09,Yes,98
D00204,Gabriel,Stephens,reyesdenise@jenkins-fields.org,(526)497-4787,Sullivanbury,KS,28366,4/16/2023,12,22033.64,Yes,90
D00205,Todd,Young,chelseagordon@greene.biz,6764428630,Lake Virginiahaven,CT,48230,6/9/2024,5,8767.66,No,83
D00206,Jason,Bates,chelsea29@kennedy.org,078.101.0124x480,South Heather,NE,93921,10/12/2022,23,2099.78,Yes,26
D00207,Richard,Miller,melissamartin@yahoo.com,(694)211-8749x004,West Michaelborough,KS,18877,7/23/2022,9,18119.46,No,3
